"2008-02";"2.2609";"1.8676";"2.4776";"2.2711";"0.1438";"0.49";"0.4495";"3.6528";"4.8638";"0.013936";"0.023116";"0.2247";"0.4595";"1.021";"0.1011";"0.3901";"0.1103";"2.0716";"2.4767";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"73.5938";"3.9292";"2.3079";"1.9055";"2.503";"2.3433";"0.1472";"0.5001";"0.4455";"3.7269";"4.8597";"0.014162";"0.023497";"0.2293";"0.4724";"1.055";"0.1021";"0.3974";"0.1145";"2.0466";"2.4496";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"76.3969";"3.9499"
"2008-01";"2.2131";"1.8882";"2.4835";"2.2818";"0.1418";"0.4957";"0.456";"3.693";"4.9434";"0.014416";"0.023343";"0.2272";"0.4641";"1.0227";"0.1025";"0.3915";"0.1101";"2.1323";"2.5116";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"71.8818";"3.9734";"2.2225";"1.8923";"2.5022";"2.304";"0.1423";"0.4966";"0.4482";"3.7011";"4.9616";"0.014264";"0.023391";"0.2277";"0.4592";"1.0216";"0.1019";"0.3917";"0.1096";"2.1161";"2.4904";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"73.9652";"3.9776"
"2007-12";"2.1145";"1.8043";"2.4124";"2.1274";"0.1342";"0.473";"0.4385";"3.5289";"4.9045";"0.013939";"0.021612";"0.2171";"0.4401";"0.9796";"0.0986";"0.3742";"0.1057";"2.0525";"2.4247";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"62.5149";"3.8184";"2.1537";"1.8458";"2.508";"2.1744";"0.1355";"0.4841";"0.4444";"3.6102";"4.9095";"0.01425";"0.021766";"0.2221";"0.4526";"1.001";"0.1002";"0.3819";"0.1074";"2.1002";"2.4564";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"65.4269";"3.8979"
"2007-11";"2.1209";"-";"2.4539";"2.1058";"0.1299";"0.4656";"0.4291";"3.4707";"4.8984";"0.013637";"0.021332";"0.2135";"0.4369";"0.9491";"0.0978";"0.3736";"-";"1.9856";"2.3652";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"61.441";"3.7509";"2.1012";"-";"2.3802";"2.1145";"0.1333";"0.469";"0.4279";"3.4973";"4.8982";"0.013792";"0.021414";"0.2151";"0.4309";"0.9655";"0.0971";"0.3732";"-";"2.0099";"2.3681";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"60.4616";"3.7724"
"2007-10";"2.1176";"-";"2.4111";"2.0066";"0.1226";"0.4498";"0.4251";"3.3525";"4.8161";"0.01336";"0.020335";"0.2059";"0.4358";"0.9046";"-";"0.3654";"-";"1.964";"2.3568";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"57.1479";"3.6722";"2.1316";"-";"2.4212";"1.9896";"0.1237";"0.4475";"0.4187";"3.336";"4.7845";"0.013265";"0.020061";"0.2052";"0.4311";"0.9177";"-";"0.3624";"-";"1.96";"2.3094";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"58.118";"3.6327"
"2007-09";"2.0359";"-";"2.3426";"2.0311";"0.1214";"0.4492";"0.4279";"3.3466";"4.8585";"0.013211";"0.020931";"0.2041";"0.4276";"0.8833";"-";"0.3603";"-";"1.907";"2.4091";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"55.032";"3.7203";"2.0829";"-";"2.3694";"2.0224";"0.122";"0.4502";"0.4236";"3.3559";"4.801";"0.013382";"0.020498";"0.2055";"0.4352";"0.8889";"-";"0.3646";"-";"1.9519";"2.3669";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"56.1388";"3.6785"
"2007-08";"1.961";"-";"2.234";"1.9684";"0.1157";"0.4331";"0.4186";"3.2237";"4.7547";"0.012629";"0.020284";"0.1937";"0.4042";"0.8457";"-";"0.3458";"-";"1.7985";"2.3671";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"50.5722";"3.6195";"1.9739";"-";"2.2738";"1.9863";"0.1181";"0.4393";"0.4235";"3.2719";"4.8329";"0.012885";"0.020573";"0.1966";"0.4117";"0.8563";"-";"0.3493";"-";"1.8415";"2.3934";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"51.4192";"3.6798"
"2007-07";"1.9825";"-";"2.1742";"1.8915";"0.1105";"0.4211";"0.4022";"3.1337";"4.6473";"0.012695";"0.018793";"0.1883";"0.3948";"0.8317";"-";"0.3413";"-";"1.7834";"2.2847";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"48.8732";"3.4945";"1.9783";"-";"2.1727";"1.912";"0.1126";"0.4244";"0.408";"3.1582";"4.6837";"0.012584";"0.019343";"0.1898";"0.3965";"0.8331";"-";"0.3437";"-";"1.7975";"2.3043";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"49.4166";"3.5394"
"2007-06";"2.0253";"-";"2.2576";"1.9502";"0.113";"0.4333";"0.4222";"3.2264";"4.7756";"0.012885";"0.019616";"0.1939";"0.4003";"0.8472";"-";"0.3459";"-";"1.8195";"2.4052";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"50.7139";"3.6343";"1.9756";"-";"2.2065";"1.8913";"0.1091";"0.4211";"0.4082";"3.134";"4.6575";"0.012767";"0.018835";"0.1883";"0.3934";"0.8332";"-";"0.339";"-";"1.7731";"2.3246";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"48.5173";"3.5241"
"2007-05";"2.0054";"-";"2.2195";"1.9903";"0.1163";"0.4408";"0.4273";"3.285";"4.8213";"0.013217";"0.020127";"0.1974";"0.4037";"0.8688";"-";"0.3569";"-";"1.8221";"2.4314";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52.214";"3.688";"2.0061";"-";"2.2725";"1.9861";"0.1154";"0.4393";"0.4276";"3.2724";"4.8099";"0.013063";"0.02001";"0.1967";"0.4026";"0.8562";"-";"0.3524";"-";"1.8384";"2.4347";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"51.3841";"3.6869"
"2007-04";"2.0405";"-";"2.1734";"2.0369";"0.1191";"0.4475";"0.4338";"3.3349";"4.9099";"0.013553";"0.020774";"0.2004";"0.4108";"0.8735";"-";"0.361";"-";"1.8159";"2.4688";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53.953";"3.7554";"2.0238";"-";"2.192";"2.0229";"0.1182";"0.4466";"0.4301";"3.3272";"4.8704";"0.013447";"0.020436";"0.2";"0.4098";"0.8785";"-";"0.3633";"-";"1.7868";"2.4452";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53.2972";"3.7209"
"2007-03";"2.0167";"-";"2.1767";"2.0893";"0.1201";"0.4523";"0.4465";"3.3694";"4.9548";"0.013487";"0.021688";"0.2005";"0.4145";"0.8669";"-";"0.3623";"-";"1.8075";"2.5447";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53.6605";"3.8369";"2.0351";"-";"2.1826";"2.0647";"0.1198";"0.4503";"0.4422";"3.3548";"4.9324";"0.013549";"0.021343";"0.2008";"0.4137";"0.8675";"-";"0.3591";"-";"1.8164";"2.5191";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53.7392";"3.8021"
"2007-02";"2.024";"-";"2.209";"2.0863";"0.1198";"0.4538";"0.4542";"3.3824";"5.0634";"0.013347";"0.021464";"0.1999";"0.4183";"0.8684";"-";"0.3681";"-";"1.8523";"2.5881";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"55.3312";"3.8755";"2.0278";"-";"2.2042";"2.1062";"0.1201";"0.4557";"0.4521";"3.3961";"5.0339";"0.013325";"0.021714";"0.2007";"0.4188";"0.8673";"-";"0.3655";"-";"1.8171";"2.5748";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"56.0549";"3.8643"
"2007-01";"2.0445";"-";"2.2236";"2.0999";"0.1218";"0.4553";"0.4581";"3.3937";"5.1177";"0.01336";"0.021687";"0.2006";"0.41";"0.8744";"-";"0.3738";"-";"1.8318";"2.6132";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52.908";"3.9036";"2.0316";"-";"2.233";"2.1006";"0.1205";"0.4572";"0.4619";"3.4084";"5.1502";"0.013217";"0.02169";"0.2015";"0.4181";"0.8667";"-";"0.3769";"-";"1.8524";"2.6345";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"54.7023";"3.9193"
"2006-12";"2.0307";"-";"2.2423";"2.1374";"0.1229";"0.458";"0.452";"3.4141";"5.074";"0.013441";"0.022054";"0.2018";"0.4184";"0.8952";"-";"0.3777";"-";"1.8045";"2.5834";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52.2214";"3.8969";"2.0289";"-";"2.2146";"2.1044";"0.123";"0.4536";"0.4495";"3.3817";"5.039";"0.013437";"0.021599";"0.1999";"0.4096";"0.882";"-";"0.3736";"-";"1.8158";"2.5676";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52.4877";"3.8588"
"2006-11";"2.0947";"-";"2.389";"2.1952";"0.1247";"0.4688";"0.4741";"3.4954";"5.1866";"0.013503";"0.023134";"0.2054";"0.424";"0.9134";"-";"0.3841";"-";"1.8626";"2.7136";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"54.6677";"4.0479";"2.0479";"-";"2.2866";"2.1567";"0.1228";"0.4607";"0.4555";"3.4344";"5.091";"0.01341";"0.022394";"0.203";"0.4193";"0.9004";"-";"0.3788";"-";"1.7932";"2.6041";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53.4266";"3.9311"
"2006-10";"2.1017";"-";"2.4718";"2.2133";"0.1244";"0.472";"0.4862";"3.5192";"5.2303";"0.013184";"0.023506";"0.2064";"0.4193";"0.9019";"-";"0.3803";"-";"1.886";"2.7895";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52.6177";"4.1116";"2.1294";"-";"2.4595";"2.2165";"0.1246";"0.4724";"0.4839";"3.5211";"5.2676";"0.013458";"0.023509";"0.2063";"0.4226";"0.9059";"-";"0.3819";"-";"1.8998";"2.7739";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53.5929";"4.1038"
"2006-09";"2.0937";"-";"2.4828";"2.2268";"0.1242";"0.4728";"0.4825";"3.527";"5.2223";"0.012842";"0.023654";"0.208";"0.4272";"0.8891";"-";"0.3806";"-";"1.8695";"2.7694";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53.4257";"4.1046";"2.0777";"-";"2.5013";"2.2223";"0.1245";"0.4738";"0.4859";"3.5334";"5.2138";"0.012934";"0.023628";"0.2071";"0.4287";"0.8892";"-";"0.3812";"-";"1.8568";"2.7889";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53.9411";"4.1125"
"2006-08";"2.1009";"-";"2.4607";"2.2365";"0.1251";"0.4728";"0.4792";"3.5277";"5.2116";"0.012859";"0.023759";"0.2085";"0.4415";"0.9037";"-";"0.3831";"-";"1.8751";"2.7534";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"55.8638";"4.0953";"2.0984";"-";"2.4831";"2.241";"0.1251";"0.4733";"0.4778";"3.5302";"5.2392";"0.012862";"0.023462";"0.2087";"0.4364";"0.8973";"-";"0.3809";"-";"1.8856";"2.7469";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"54.9079";"4.0937"
"2006-07";"2.118";"-";"2.497";"2.2772";"0.1256";"0.4789";"0.49";"3.5723";"5.1937";"0.01287";"0.024355";"0.2111";"0.4499";"0.8937";"-";"0.3876";"-";"1.8118";"2.8167";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"57.3305";"4.1634";"2.1281";"-";"2.4677";"2.2556";"0.1242";"0.4752";"0.4838";"3.5458";"5.1858";"0.013031";"0.024298";"0.2096";"0.4508";"0.9011";"-";"0.3841";"-";"1.8672";"2.7799";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"56.9241";"4.1391"
"2006-06";"2.0739";"-";"2.5151";"2.2742";"0.125";"0.4759";"0.4863";"3.5483";"5.1662";"0.013056";"0.024442";"0.2111";"0.4518";"0.8817";"-";"0.3843";"-";"1.7484";"2.8013";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53.8161";"4.1456";"2.0876";"-";"2.5268";"2.2768";"0.1253";"0.4784";"0.4877";"3.5686";"5.1473";"0.012629";"0.024487";"0.2143";"0.4496";"0.881";"-";"0.3863";"-";"1.787";"2.8068";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"54.1725";"4.1791"
"2006-05";"2.0964";"-";"2.4725";"2.2531";"0.124";"0.4703";"0.4762";"3.5071";"5.1319";"0.013363";"0.024578";"0.2125";"0.4496";"0.8998";"-";"0.3758";"-";"1.9116";"2.7449";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"59.6013";"4.093";"2.0955";"-";"2.5112";"2.2702";"0.1255";"0.4745";"0.4773";"3.5386";"5.1666";"0.013456";"0.024545";"0.2081";"0.4515";"0.8969";"-";"0.3816";"-";"1.7513";"2.7511";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"57.7855";"4.1166"
"2006-04";"2.094";"-";"2.4841";"2.2169";"0.1224";"0.4679";"0.4955";"3.4911";"5.0253";"0.013143";"0.0243";"0.2204";"0.445";"0.8902";"-";"0.374";"-";"2.1307";"2.8485";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"55.7661";"4.1371";"2.0921";"-";"2.4619";"2.2099";"0.1222";"0.4657";"0.4807";"3.4743";"5.0055";"0.013171";"0.024235";"0.2151";"0.4471";"0.8971";"-";"0.3735";"-";"2.0923";"2.7674";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"56.7713";"4.0952"
"2006-03";"2.1217";"-";"2.5214";"2.2354";"0.1224";"0.4701";"0.5082";"3.5074";"5.0882";"0.013448";"0.024875";"0.225";"0.4397";"0.9033";"-";"0.3732";"-";"2.182";"2.9177";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52.2601";"4.2019";"2.074";"-";"2.4989";"2.2296";"0.1232";"0.4719";"0.5064";"3.521";"5.0506";"0.013249";"0.024722";"0.2252";"0.442";"0.8943";"-";"0.374";"-";"2.1575";"2.9079";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"54.569";"4.1935"
"2006-02";"2.1984";"-";"2.5775";"2.2727";"0.1246";"0.4743";"0.5167";"3.5404";"5.1804";"0.014071";"0.025146";"0.2289";"0.4392";"0.9328";"-";"0.3789";"-";"2.2342";"2.9632";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52.923";"4.2552";"2.1682";"-";"2.5695";"2.2238";"0.1229";"0.4666";"0.5107";"3.4814";"5.1163";"0.013779";"0.025221";"0.2261";"0.4335";"0.9224";"-";"0.3687";"-";"2.2317";"2.9281";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52.4095";"4.2108"
"2006-01";"2.2551";"-";"2.5942";"2.3521";"0.127";"0.4885";"0.5241";"3.6445";"5.3093";"0.014537";"0.026053";"0.2347";"0.4532";"0.954";"-";"0.3915";"-";"2.2539";"3.0062";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53.0738";"4.3592";"2.2506";"-";"2.6059";"2.3265";"0.1274";"0.4844";"0.5211";"3.6151";"5.2945";"0.014324";"0.0255";"0.2316";"0.4466";"0.944";"-";"0.3918";"-";"2.2513";"2.9874";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"54.7192";"4.3195"
"2005-12";"2.2889";"-";"2.6556";"2.3638";"0.1263";"0.4908";"0.5366";"3.6589";"5.3864";"0.014484";"0.026024";"0.2406";"0.4586";"0.9506";"-";"0.3882";"-";"2.28";"3.0836";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"50.5466";"4.4161";"2.2803";"-";"2.6731";"2.3645";"0.1267";"0.4929";"0.5416";"3.6771";"5.3563";"0.014547";"0.026459";"0.2418";"0.46";"0.952";"-";"0.3911";"-";"2.3032";"3.1078";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"51.227";"4.4439"
"2005-11";"2.278";"-";"2.6178";"2.3644";"0.1248";"0.4897";"0.5377";"3.653";"5.3763";"0.014556";"0.026162";"0.2443";"0.4668";"0.9201";"-";"0.3819";"-";"2.2782";"3.0974";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"47.4621";"4.4237";"2.2932";"-";"2.6563";"2.3591";"0.1263";"0.4904";"0.5386";"3.6549";"5.3505";"0.014461";"0.025949";"0.2413";"0.4596";"0.9341";"-";"0.3838";"-";"2.286";"3.1024";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"49.2491";"4.4209"
"2005-10";"2.2575";"-";"2.5429";"2.3227";"0.1213";"0.4822";"0.5196";"3.5984";"5.279";"0.01429";"0.026071";"0.2378";"0.4592";"0.9176";"-";"0.3819";"-";"2.2048";"2.9927";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"45.2211";"4.3287";"2.2751";"-";"2.5758";"2.3607";"0.1233";"0.4891";"0.5251";"3.6503";"5.3819";"0.014557";"0.026101";"0.2387";"0.4675";"0.9153";"-";"0.3822";"-";"2.2445";"3.0259";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"46.0027";"4.3671"
"2005-09";"2.1928";"-";"2.4293";"2.2657";"0.1197";"0.4706";"0.4969";"3.5103";"5.1786";"0.014279";"0.025791";"0.2275";"0.4496";"0.8955";"-";"0.376";"-";"2.1363";"2.8648";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"41.9982";"4.1981";"2.2496";"-";"2.5335";"2.2875";"0.1204";"0.4769";"0.5137";"3.5586";"5.2091";"0.014282";"0.026125";"0.2354";"0.4521";"0.9091";"-";"0.3819";"-";"2.1911";"2.9585";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"45.0228";"4.2792"
"2005-08";"2.1716";"-";"2.3635";"2.2576";"0.1184";"0.47";"0.4939";"3.5057";"5.1152";"0.01434";"0.025774";"0.2278";"0.4429";"0.8664";"-";"0.3753";"-";"2.1188";"2.8512";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40.1282";"4.1843";"2.1487";"-";"2.4137";"2.2684";"0.1187";"0.4708";"0.4978";"3.5111";"5.1366";"0.01436";"0.025791";"0.2271";"0.4454";"0.8689";"-";"0.3754";"-";"2.1283";"2.875";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40.0253";"4.2085"
"2005-07";"2.2262";"-";"2.4201";"2.2879";"0.1181";"0.4781";"0.5122";"3.5655";"5.1792";"0.014468";"0.026427";"0.2353";"0.45";"0.8696";"-";"0.3784";"-";"2.2107";"2.9608";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40.3795";"4.2932";"2.2152";"-";"2.3711";"2.2595";"0.1168";"0.4724";"0.5051";"3.5237";"5.1124";"0.014384";"0.025946";"0.2306";"0.4461";"0.8637";"-";"0.3749";"-";"2.1932";"2.9164";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40.036";"4.2229"
"2005-06";"2.2766";"-";"2.3878";"2.3495";"0.1204";"0.4854";"0.5123";"3.6139";"5.4044";"0.0145";"0.027342";"0.2359";"0.4578";"0.8897";"-";"0.3906";"-";"2.1802";"2.9695";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"41.0579";"4.3571";"2.2797";"-";"2.4236";"2.3315";"0.1201";"0.4839";"0.5162";"3.605";"5.4247";"0.0146";"0.027095";"0.2366";"0.4556";"0.8888";"-";"0.3823";"-";"2.2163";"2.9891";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"41.8032";"4.3613"
"2005-05";"2.1834";"-";"2.2711";"2.3417";"0.1197";"0.486";"0.4916";"3.6182";"5.2856";"0.0144";"0.026723";"0.2253";"0.4476";"0.8664";"-";"0.3935";"-";"2.0815";"2.8508";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38.7246";"4.2645";"2.2165";"-";"2.3258";"2.3498";"0.1191";"0.4866";"0.5047";"3.6217";"5.3241";"0.0143";"0.027108";"0.2293";"0.4559";"0.8802";"-";"0.3958";"-";"2.1582";"2.9278";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39.1957";"4.2856"
"2005-04";"2.168";"-";"2.2711";"2.3457";"0.1205";"0.4872";"0.4835";"3.6293";"5.3131";"0.0146";"0.026143";"0.2227";"0.4438";"0.8739";"-";"0.396";"-";"2.0586";"2.8041";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38.6803";"4.2362";"2.1882";"-";"2.2369";"2.3562";"0.1185";"0.4863";"0.4814";"3.6211";"5.3456";"0.0143";"0.02657";"0.221";"0.4444";"0.8435";"-";"0.3948";"-";"2.0076";"2.7931";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38.9147";"4.2469"
"2005-03";"2.1615";"-";"2.2661";"2.3452";"0.1219";"0.488";"0.4752";"3.6338";"5.2474";"0.0148";"0.026183";"0.2185";"0.4438";"0.9035";"-";"0.3997";"-";"2.099";"2.757";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38.4077";"4.2045";"2.1983";"-";"2.3444";"2.3771";"0.1231";"0.4943";"0.4905";"3.6825";"5.349";"0.0149";"0.026603";"0.2255";"0.4487";"0.9007";"-";"0.4027";"-";"2.0995";"2.8429";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39.081";"4.2925"
"2005-02";"2.2046";"-";"2.28";"2.3719";"0.1226";"0.494";"0.4859";"3.6765";"5.3304";"0.0151";"0.026935";"0.226";"0.442";"0.9223";"-";"0.4047";"-";"2.1484";"2.8244";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38.4368";"4.2893";"2.1751";"-";"2.2306";"2.3659";"0.1225";"0.4894";"0.4728";"3.6422";"5.2858";"0.015";"0.026319";"0.219";"0.4431";"0.9313";"-";"0.4026";"-";"2.131";"2.7473";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38.5402";"4.2178"
"2005-01";"2.2255";"-";"2.3765";"2.4683";"0.126";"0.5131";"0.4925";"3.8178";"5.4629";"0.0155";"0.028114";"0.2329";"0.4647";"0.9359";"-";"0.4219";"-";"2.1447";"2.9076";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39.6942";"4.4281";"2.2313";"-";"2.3207";"2.4225";"0.1242";"0.5041";"0.4949";"3.7516";"5.4308";"0.0153";"0.027845";"0.2306";"0.4546";"0.9254";"-";"0.4123";"-";"2.1592";"2.8855";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39.3665";"4.3771"
